Code, Rate,
DZD, 71.326541
NAD, 7.356121
GHS, 1.429497
EGP, 5.486778
BGN, 1.35765
PAB, 1
PHP, 46.153271
BOB, 7.020063
DKK, 5.180377
BWP, 6.684572
LBP, 1501.743462
TZS, 1338.495773
VND, 18469.946758
AOA, 89.174867
KHR, 4145.046765
MYR, 3.422995
LYD, 1.235989
UAH, 8.005007
JOD, 0.708375
AWG, 1.79025
SAR, 3.750375
LTL, 2.396779
HKD, 7.754729
CHF, 1.0338
GIP, 0.616479
BYR, 2862.268784
XPF, 83.342361
MRO, 261.248805
HRK, 5.081717
DJF, 177.721
THB, 33.294911
XAF, 480.717991
BND, 1.400814
ETB, 10.756432
UYU, 19.549958
NIO, 19.307824
LAK, 8466.893794
SYP, 45.549845
MAD, 7.877534
MZN, 30.584999
YER, 204.499713
ZAR, 7.393195
NPR, 71.724682
NGN, 149.698917
ZWD, 15180.699616
CRC, 554.506762
AED, 3.67275
EEK, 10.860498
MWK, 143.274305
TTD, 6.31525
LKR, 114.369762
PKR, 84.400874
HUF, 188.805457
BMD, 1
LSL, 7.384621
MNT, 1432.483743
AMD, 377.894224
UGX, 1904.998348
XDR, 0.637967
JMD, 87.739453
GEL, 1.692423
SHP, 0.617865
AFN, 48.550089
MMK, 6.51
KPW, 143.112069
TRY, 1.502598
BDT, 68.875969
CNY, 6.828759
HTG, 40.249761
SLL, 3849.993913
MGA, 1959.991649
ANG, 1.791
LRD, 68.999131
RWF, 569.996697
NOK, 5.771254
MOP, 7.999735
INR, 46.524322
MXN, 13.108757
CZK, 18.390696
TJS, 4.370486
BTN, 46.390556
COP, 2044.171135
MUR, 29.674809
IDR, 9402.221562
HNL, 18.9225
FJD, 1.946322
ISK, 124.948712
PEN, 3.004574
BZD, 1.9875
ILS, 3.785744
DOP, 36.205077
AZN, 0.802601
MDL, 12.234987
QAR, 3.64
SEK, 7.138645
ZMK, 4689.991132
MVR, 12.795
AUD, 1.108609
SRD, 2.71499
IEP, 0.672286
BBD, 2
KMF, 341.502152
KRW, 1160.640163
GMD, 26.200169
VEF, 2.15
BSD, 1
CLP, 507.427443
EUR, 0.697253
ALL, 96.435505
XCD, 2.605025
KZT, 148.473173
RUB, 30.002896
CDF, 890.00504
RON, 2.950425
OMR, 0.384497
BRL, 1.741616
SBD, 7.84671
PLN, 2.84916
PYG, 4692.47027
KES, 75.840606
MKD, 42.596418
GBP, 0.618224
TWD, 31.999965
TOP, 1.90848
VUV, 97.049984
GNF, 4995.970044
WST, 2.587412
IQD, 1151.992531
BAM, 1.363
SCR, 10.979979
CAD, 1.048367
CVE, 76.538942
KWD, 0.287273
BIF, 1136.687381
PGK, 2.685241
SOS, 1499.996522
SGD, 1.403339
UZS, 1508.614466
STD, 16129.897404
IRR, 9889.944329
SVC, 8.748798
XOF, 454.917986
TND, 1.318996
GYD, 205.197677
NZD, 1.377768
FKP, 0.617865
LVL, 0.487855
USD, 1
KGS, 44.066483
ARS, 3.79928
SZL, 7.395295
GTQ, 8.33355
RSD, 66.612287
BHD, 0.3765
JPY, 92.910732
SDG, 2.234396
